teff_2,logg_2,feh_2,alpha,npix,rv,gamma,chi2,arbnorm
4100,5.0,0.0,0.1359,972,101.0,-0.25,12604.1923,1.0
4100,5.0,0.0,0.1359,972,101.0,0.0,12574.6258,1.0
4100,5.0,0.0,0.1359,972,101.0,0.25,12668.1826,1.0
4100,5.0,0.0,0.1359,972,101.0,0.5,12847.0779,1.0
4100,5.0,0.0,0.1359,972,101.0,0.75,12969.5312,1.0
4100,5.0,0.0,0.1359,972,101.5,-1.0,13116.61,1.0
4100,5.0,0.0,0.1359,972,101.5,-0.75,12911.7161,1.0
4100,5.0,0.0,0.1359,972,101.5,-0.5,12655.287,1.0
4100,5.0,0.0,0.1359,972,101.5,-0.25,12573.3536,1.0
4100,5.0,0.0,0.1359,972,101.5,0.0,12571.1301,1.0
4100,5.0,0.0,0.1359,972,101.5,0.25,12662.9991,1.0
4100,5.0,0.0,0.1359,972,101.5,0.5,12802.331,1.0
4100,5.0,0.0,0.1359,972,101.5,0.75,12899.4846,1.0
4100,5.0,0.0,0.1359,972,102.0,-1.0,13127.1469,1.0
4100,5.0,0.0,0.1359,972,102.0,-0.75,12878.9108,1.0
4100,5.0,0.0,0.1359,972,102.0,-0.5,12674.783,1.0
4100,5.0,0.0,0.1359,972,102.0,-0.25,12589.1064,1.0
4100,5.0,0.0,0.1359,972,102.0,0.0,12606.0632,1.0
4100,5.0,0.0,0.1359,972,102.0,0.25,12674.6393,1.0
4100,5.0,0.0,0.1359,972,102.0,0.5,12776.6766,1.0
4100,5.0,0.0,0.1359,972,102.0,0.75,12895.4349,1.0
4100,5.0,0.0,0.1359,972,102.5,-1.0,13105.4201,1.0
4100,5.0,0.0,0.1359,972,102.5,-0.75,12861.6552,1.0
4100,5.0,0.0,0.1359,972,102.5,-0.5,12686.0398,1.0
4100,5.0,0.0,0.1359,972,102.5,-0.25,12610.4028,1.0
4100,5.0,0.0,0.1359,972,102.5,0.0,12644.7518,1.0
4100,5.0,0.0,0.1359,972,102.5,0.25,12681.3177,1.0
4100,5.0,0.0,0.1359,972,102.5,0.5,12763.5885,1.0
4100,5.0,0.0,0.1359,972,102.5,0.75,12864.2992,1.0
4100,5.0,0.0,0.1359,972,103.0,-1.0,13135.4425,1.0
4100,5.0,0.0,0.1359,972,103.0,-0.75,12898.3209,1.0
4100,5.0,0.0,0.1359,972,103.0,-0.5,12713.6151,1.0
4100,5.0,0.0,0.1359,972,103.0,-0.25,12646.6401,1.0
4100,5.0,0.0,0.1359,972,103.0,0.0,12647.2769,1.0
4100,5.0,0.0,0.1359,972,103.0,0.25,12713.808,1.0
4100,5.0,0.0,0.1359,972,103.0,0.5,12768.5203,1.0
4100,5.0,0.0,0.1359,972,103.0,0.75,12885.5907,1.0
4100,5.0,0.0,0.1359,972,103.5,-1.0,13165.998,1.0
4100,5.0,0.0,0.1359,972,103.5,-0.75,12912.0383,1.0
4100,5.0,0.0,0.1359,972,103.5,-0.5,12735.4652,1.0
4100,5.0,0.0,0.1359,972,103.5,-0.25,12673.5065,1.0
4100,5.0,0.0,0.1359,972,103.5,0.0,12660.2423,1.0
4100,5.0,0.0,0.1359,972,103.5,0.25,12712.4339,1.0
4100,5.0,0.0,0.1359,972,103.5,0.5,12776.7203,1.0
4100,5.0,0.0,0.1359,972,103.5,0.75,12922.8846,1.0
4100,5.0,0.0,0.1359,972,104.0,-1.0,13203.8573,1.0
4100,5.0,0.0,0.1359,972,104.0,-0.75,12920.768,1.0
4100,5.0,0.0,0.1359,972,104.0,-0.5,12718.1071,1.0
4100,5.0,0.0,0.1359,972,104.0,-0.25,12672.2441,1.0
4100,5.0,0.0,0.1359,972,104.0,0.0,12716.8027,1.0
4100,5.0,0.0,0.1359,972,104.0,0.25,12756.9048,1.0
4100,5.0,0.0,0.1359,972,104.0,0.5,12811.9104,1.0
4100,5.0,0.0,0.1359,972,104.0,0.75,12973.431,1.0
4100,5.0,0.0,0.1359,972,104.5,-1.0,13169.7627,1.0
4100,5.0,0.0,0.1359,972,104.5,-0.75,12926.8175,1.0
4100,5.0,0.0,0.1359,972,104.5,-0.5,12772.8723,1.0
4100,5.0,0.0,0.1359,972,104.5,-0.25,12727.1822,1.0
4100,5.0,0.0,0.1359,972,104.5,0.0,12764.2086,1.0
4100,5.0,0.0,0.1359,972,104.5,0.25,12796.3194,1.0
4100,5.0,0.0,0.1359,972,104.5,0.5,12828.7756,1.0
4100,5.0,0.0,0.1359,972,104.5,0.75,12978.2899,1.0
4200,5.0,0.0,0.1514,972,95.0,-1.0,13286.1837,1.0
4200,5.0,0.0,0.1514,972,95.0,-0.75,13052.4373,1.0
4200,5.0,0.0,0.1514,972,95.0,-0.5,12861.9184,1.0
4200,5.0,0.0,0.1514,972,95.0,-0.25,12716.5509,1.0
4200,5.0,0.0,0.1514,972,95.0,0.0,12668.6483,1.0
4200,5.0,0.0,0.1514,972,95.0,0.25,12707.8195,1.0
4200,5.0,0.0,0.1514,972,95.0,0.5,12748.1128,1.0
4200,5.0,0.0,0.1514,972,95.0,0.75,12874.3393,1.0
4200,5.0,0.0,0.1514,972,95.5,-1.0,13246.4519,1.0
4200,5.0,0.0,0.1514,972,95.5,-0.75,13025.9775,1.0
4200,5.0,0.0,0.1514,972,95.5,-0.5,12794.6544,1.0
4200,5.0,0.0,0.1514,972,95.5,-0.25,12694.897,1.0
4200,5.0,0.0,0.1514,972,95.5,0.0,12604.8782,1.0
4200,5.0,0.0,0.1514,972,95.5,0.25,12639.0075,1.0
4200,5.0,0.0,0.1514,972,95.5,0.5,12721.3924,1.0
4200,5.0,0.0,0.1514,972,95.5,0.75,12836.9331,1.0
4200,5.0,0.0,0.1514,972,96.0,-1.0,13255.4323,1.0
4200,5.0,0.0,0.1514,972,96.0,-0.75,12993.0183,1.0
4200,5.0,0.0,0.1514,972,96.0,-0.5,12751.2593,1.0
4200,5.0,0.0,0.1514,972,96.0,-0.25,12627.9026,1.0
4200,5.0,0.0,0.1514,972,96.0,0.0,12601.3687,1.0
4200,5.0,0.0,0.1514,972,96.0,0.25,12627.3773,1.0
4200,5.0,0.0,0.1514,972,96.0,0.5,12739.2899,1.0
4200,5.0,0.0,0.1514,972,96.0,0.75,12813.8354,1.0
4200,5.0,0.0,0.1514,972,96.5,-1.0,13201.7282,1.0
4200,5.0,0.0,0.1514,972,96.5,-0.75,12953.2329,1.0
4200,5.0,0.0,0.1514,972,96.5,-0.5,12741.2028,1.0
4200,5.0,0.0,0.1514,972,96.5,-0.25,12585.3368,1.0
4200,5.0,0.0,0.1514,972,96.5,0.0,12579.9282,1.0
4200,5.0,0.0,0.1514,972,96.5,0.25,12629.8577,1.0
4200,5.0,0.0,0.1514,972,96.5,0.5,12726.9565,1.0
4200,5.0,0.0,0.1514,972,96.5,0.75,12833.6214,1.0
4200,5.0,0.0,0.1514,972,97.0,-1.0,13162.2837,1.0
4200,5.0,0.0,0.1514,972,97.0,-0.75,12942.1738,1.0
4200,5.0,0.0,0.1514,972,97.0,-0.5,12699.4539,1.0
4200,5.0,0.0,0.1514,972,97.0,-0.25,12561.3576,1.0
4200,5.0,0.0,0.1514,972,97.0,0.0,12540.787,1.0
4200,5.0,0.0,0.1514,972,97.0,0.25,12626.4395,1.0
4200,5.0,0.0,0.1514,972,97.0,0.5,12735.2519,1.0
4200,5.0,0.0,0.1514,972,97.0,0.75,12825.1956,1.0
4200,5.0,0.0,0.1514,972,97.5,-1.0,13144.0825,1.0
4200,5.0,0.0,0.1514,972,97.5,-0.75,12911.514,1.0
4200,5.0,0.0,0.1514,972,97.5,-0.5,12671.4943,1.0
4200,5.0,0.0,0.1514,972,97.5,-0.25,12527.3101,1.0
4200,5.0,0.0,0.1514,972,97.5,0.0,12535.0662,1.0
4200,5.0,0.0,0.1514,972,97.5,0.25,12639.4103,1.0
4200,5.0,0.0,0.1514,972,97.5,0.5,12725.1631,1.0
4200,5.0,0.0,0.1514,972,97.5,0.75,12813.2747,1.0
4200,5.0,0.0,0.1514,972,98.0,-1.0,13080.5365,1.0
4200,5.0,0.0,0.1514,972,98.0,-0.75,12842.5488,1.0
4200,5.0,0.0,0.1514,972,98.0,-0.5,12638.491,1.0
4200,5.0,0.0,0.1514,972,98.0,-0.25,12557.1385,1.0
4200,5.0,0.0,0.1514,972,98.0,0.0,12536.5845,1.0
4200,5.0,0.0,0.1514,972,98.0,0.25,12615.358,1.0
4200,5.0,0.0,0.1514,972,98.0,0.5,12703.8265,1.0
4200,5.0,0.0,0.1514,972,98.0,0.75,12816.8368,1.0
4200,5.0,0.0,0.1514,972,98.5,-1.0,13050.8122,1.0
4200,5.0,0.0,0.1514,972,98.5,-0.75,12788.669,1.0
4200,5.0,0.0,0.1514,972,98.5,-0.5,12629.4504,1.0
4200,5.0,0.0,0.1514,972,98.5,-0.25,12557.7249,1.0
